,date,Excitation Field Current,Excitation Field Voltage,Power Factor,Reactive Power,Generator Gross Capacity
143,2020-11-30 02:23:00,1269.731079,240.8010254,1.014280081,24.46681023,230.1915131
144,2020-11-30 02:24:00,1270.18457,240.7846985,1.014280081,24.62755775,230.1611786
145,2020-11-30 02:25:00,1270.019531,240.7623596,1.014280081,24.91510773,230.5363159
146,2020-11-30 02:26:00,1268.694824,240.8612366,1.014280081,24.41301727,230.5940552
147,2020-11-30 02:27:00,1271.563843,241.2111206,1.014280081,25.28874779,230.4747009
148,2020-11-30 02:28:00,1269.191162,241.1663818,1.014280081,24.69655609,230.1957397
149,2020-11-30 02:29:00,1271.719482,241.4657593,1.014280081,25.32396507,230.2758331
150,2020-11-30 02:30:00,1271.585205,241.4296265,1.014280081,25.51401711,229.2826691
151,2020-11-30 02:31:00,1270.852417,241.1635437,1.014280081,25.57156181,229.3353729
152,2020-11-30 02:32:00,1268.605103,240.8268738,1.014280081,25.08650017,229.4406891
153,2020-11-30 02:33:00,1271.749634,241.3135223,1.014280081,25.61775208,228.9867706
154,2020-11-30 02:34:00,1266.958374,240.3599091,1.014280081,24.30355644,228.8406067
155,2020-11-30 02:35:00,1265.32959,240.5052338,1.014280081,24.27609253,228.88974
156,2020-11-30 02:36:00,1264.564087,240.0604401,1.014280081,24.51011658,228.2163391
157,2020-11-30 02:37:00,1270.92627,241.0504913,1.014280081,25.28045273,228.5803223
158,2020-11-30 02:38:00,1267.977051,240.4402771,1.014280081,25.37938499,229.0323486
159,2020-11-30 02:39:00,1269.296387,240.9356689,1.014280081,25.31172943,228.7758636
160,2020-11-30 02:40:00,1264.872192,239.8512421,1.014280081,24.38456154,228.756012
161,2020-11-30 02:41:00,1263.743042,240.0230408,1.014280081,24.12747002,228.8526306
162,2020-11-30 02:42:00,1268.593628,240.7423401,1.014280081,25.11005211,229.1050568
163,2020-11-30 02:43:00,1271.79541,241.5959167,1.014280081,25.48025894,229.1153564
164,2020-11-30 02:44:00,1268.624146,240.5558014,1.014280081,24.60885239,229.9628448
165,2020-11-30 02:45:00,1267.238281,240.5759735,1.014280081,24.23003006,229.7020264
166,2020-11-30 02:46:00,1266.366821,240.2083893,1.014280081,24.26447487,229.6624603
167,2020-11-30 02:47:00,1266.749023,240.0352783,1.014280081,23.93227959,229.8754272
168,2020-11-30 02:48:00,1267.828247,240.554306,1.014280081,23.9568119,229.8522034
169,2020-11-30 02:49:00,1266.307007,240.0187531,1.014280081,23.59469604,230.2729034
170,2020-11-30 02:50:00,1266.624512,240.1093597,1.014280081,23.8143158,229.7396088
171,2020-11-30 02:51:00,1266.488037,240.2992859,1.014280081,23.86889076,229.4794617
172,2020-11-30 02:52:00,1264.492676,239.8265533,1.014280081,23.4474926,229.6743164
173,2020-11-30 02:53:00,1268.107178,240.8503571,1.014280081,24.34731483,229.6440735
174,2020-11-30 02:54:00,1267.093994,240.2448273,1.014280081,23.87931252,229.6767731
175,2020-11-30 02:55:00,1262.740356,239.4768677,1.014280081,23.01231575,229.5732117
176,2020-11-30 02:56:00,1266.877075,240.3542175,1.014280081,23.81453323,229.997757
177,2020-11-30 02:57:00,1266.538574,239.9745178,1.014040947,23.35060692,229.8933716
178,2020-11-30 02:58:00,1266.771484,239.9663544,1.01376164,23.62408829,229.6116791
179,2020-11-30 02:59:00,1263.855957,239.9736328,1.013482332,23.61103058,229.4652405
180,2020-11-30 03:00:00,1263.006348,239.6188507,1.013294935,23.5840683,229.0136108
181,2020-11-30 03:01:00,1261.381958,239.562851,1.013363123,23.5203228,228.5170441
182,2020-11-30 03:02:00,1262.102539,239.6379242,1.013431311,23.60422134,228.6282043
183,2020-11-30 03:03:00,1262.82312,239.7129974,1.013499498,23.68811989,228.7393646
184,2020-11-30 03:04:00,1263.543823,239.7880707,1.013567567,23.77201843,228.8505249
185,2020-11-30 03:05:00,1264.264404,239.8631439,1.013635755,23.85591698,228.9616852
186,2020-11-30 03:06:00,1260.308228,239.0488129,1.013913751,22.90135956,228.6834564
187,2020-11-30 03:07:00,1257.990845,238.4744415,1.014266133,22.67225647,228.3338623
188,2020-11-30 03:08:00,1263.256592,239.9766846,1.014618516,23.68405533,228.4861755
189,2020-11-30 03:09:00,1263.114746,239.3402252,1.01440537,23.61955643,228.1663971
190,2020-11-30 03:10:00,1262.475464,239.5603638,1.013969541,23.38364029,228.5067291
191,2020-11-30 03:11:00,1262.872314,239.5447845,1.013533711,23.08128166,229.1829224
192,2020-11-30 03:12:00,1263.302856,239.8632813,1.014588833,22.84287262,229.539505
193,2020-11-30 03:13:00,1264.835938,239.5246429,1.014588833,23.49372673,230.2576599
194,2020-11-30 03:14:00,1265.46814,240.6338501,1.014588833,23.27772522,230.1444244
195,2020-11-30 03:15:00,1266.615356,240.8564301,1.014588833,23.39354897,230.6251221
196,2020-11-30 03:16:00,1271.702148,241.5910339,1.014588833,24.11103821,231.2434387
197,2020-11-30 03:17:00,1276.488037,242.490097,1.014588833,24.43736458,232.6274414
198,2020-11-30 03:18:00,1273.087646,242.0220032,1.014588833,23.39705658,232.7863159
199,2020-11-30 03:19:00,1273.524536,241.8324127,1.014588833,23.70517731,232.0908966
200,2020-11-30 03:20:00,1273.190552,241.956665,1.014588833,23.99398613,231.7183533
201,2020-11-30 03:21:00,1277.445679,242.1646729,1.014588833,24.8880043,232.5108185
202,2020-11-30 03:22:00,1275.413452,241.8417969,1.014588833,23.89264107,232.7680664
203,2020-11-30 03:23:00,1276.842285,242.8755493,1.014588833,24.05601883,233.1854858
204,2020-11-30 03:24:00,1276.136597,242.3670502,1.014588833,24.16129112,232.7260742
205,2020-11-30 03:25:00,1276.247437,242.3532867,1.014588833,24.17442703,232.5624237
206,2020-11-30 03:26:00,1274.578003,242.1563568,1.014588833,24.1448555,232.1041718
207,2020-11-30 03:27:00,1273.477539,241.9642639,1.014588833,24.0976162,231.9372406
208,2020-11-30 03:28:00,1270.756592,241.3651428,1.014588833,23.38207817,231.7902069
209,2020-11-30 03:29:00,1268.109985,240.5336761,1.014588833,22.63419914,232.0059814
210,2020-11-30 03:30:00,1266.736206,240.0742188,1.014588833,22.16537094,231.7831421
211,2020-11-30 03:31:00,1270.727295,241.0555115,1.014588833,22.77758789,232.4784393
212,2020-11-30 03:32:00,1271.856079,241.6998749,1.014588833,22.84400558,232.7761536
213,2020-11-30 03:33:00,1266.937012,240.3760071,1.014588833,21.72175789,232.0056915
214,2020-11-30 03:34:00,1260.730835,239.9451752,1.014588833,21.25494194,230.8069611
215,2020-11-30 03:35:00,1259.38147,239.2114258,1.014588833,20.3775444,230.0459747
216,2020-11-30 03:36:00,1262.020996,239.5270996,1.014588833,20.87521362,231.3522644
217,2020-11-30 03:37:00,1265.953491,240.1414337,1.014588833,21.11283493,232.2901306
218,2020-11-30 03:38:00,1267.333252,240.4619141,1.014588833,20.77018738,233.2163696
219,2020-11-30 03:39:00,1270.845703,241.2887726,1.014588833,21.28396797,233.5801392
220,2020-11-30 03:40:00,1269.536987,241.0853271,1.014588833,21.4432354,233.2724762
221,2020-11-30 03:41:00,1270.967163,241.2321625,1.014588833,21.70293808,233.4786072
222,2020-11-30 03:42:00,1273.337891,241.9490204,1.014885783,21.92395401,233.7653046
223,2020-11-30 03:43:00,1275.500488,242.5703278,1.01543808,22.12249947,233.9410553
224,2020-11-30 03:44:00,1274.918335,241.859314,1.015990376,21.77377319,234.7175598
225,2020-11-30 03:45:00,1276.49353,242.616684,1.016542673,21.96500397,234.4182739
226,2020-11-30 03:46:00,1279.442017,243.3926544,1.01627326,22.4015522,234.8180237
227,2020-11-30 03:47:00,1272.789795,241.4393005,1.015875697,20.83436775,234.9284363
228,2020-11-30 03:48:00,1272.337036,241.3060608,1.015458822,20.62693405,234.9394684
229,2020-11-30 03:49:00,1270.92688,241.2483978,1.014978647,20.65224457,234.8940582
230,2020-11-30 03:50:00,1264.02356,240.1681213,1.014498472,20.06601143,233.339859
231,2020-11-30 03:51:00,1258.596313,239.0251312,1.014319301,19.58676147,231.5270233
